k,k-Itemset,NumOccurences
8,"('detergent', 'dishes', 'napkins', 'pastry', 'sausage', 'specialty chocolate', 'whisky', 'yogurt')",1
8,"('Instant food products', 'bottled beer', 'bottled water', 'domestic eggs', 'grapes', 'rolls/buns', 'salty snack', 'sausage')",1
8,"('canned beer', 'citrus fruit', 'frankfurter', 'hard cheese', 'specialty chocolate', 'tropical fruit', 'whole milk', 'yogurt')",1
8,"('baking powder', 'dog food', 'sausage', 'shopping bags', 'sliced cheese', 'white bread', 'whole milk', 'yogurt')",1
8,"('bottled beer', 'brown bread', 'butter', 'canned beer', 'cream cheese ', 'dessert', 'other vegetables', 'sausage')",1
8,"('other vegetables', 'pastry', 'rolls/buns', 'sausage', 'soda', 'softener', 'sugar', 'whole milk')",1
8,"('bottled water', 'napkins', 'pastry', 'root vegetables', 'soda', 'specialty fat', 'tropical fruit', 'whole milk')",1
8,"('beef', 'citrus fruit', 'domestic eggs', 'long life bakery product', 'soda', 'specialty bar', 'vinegar', 'white bread')",1
8,"('baking powder', 'frozen fish', 'frozen vegetables', 'oil', 'other vegetables', 'rolls/buns', 'sausage', 'whole milk')",1
8,"('chicken', 'citrus fruit', 'cream cheese ', 'curd', 'other vegetables', 'pastry', 'pip fruit', 'specialty chocolate')",1
8,"('butter', 'citrus fruit', 'grapes', 'ice cream', 'margarine', 'pip fruit', 'whipped/sour cream', 'whole milk')",1
8,"('cat food', 'frankfurter', 'frozen meals', 'margarine', 'misc. beverages', 'other vegetables', 'sausage', 'whole milk')",1
8,"('cat food', 'frankfurter', 'frozen meals', 'margarine', 'misc. beverages', 'other vegetables', 'sausage', 'yogurt')",1
8,"('cat food', 'frankfurter', 'frozen meals', 'margarine', 'misc. beverages', 'other vegetables', 'whole milk', 'yogurt')",1
8,"('cat food', 'frankfurter', 'frozen meals', 'margarine', 'misc. beverages', 'sausage', 'whole milk', 'yogurt')",1
8,"('cat food', 'frankfurter', 'frozen meals', 'margarine', 'other vegetables', 'sausage', 'whole milk', 'yogurt')",1
8,"('cat food', 'frankfurter', 'frozen meals', 'misc. beverages', 'other vegetables', 'sausage', 'whole milk', 'yogurt')",1
8,"('cat food', 'frankfurter', 'margarine', 'misc. beverages', 'other vegetables', 'sausage', 'whole milk', 'yogurt')",1
8,"('cat food', 'frozen meals', 'margarine', 'misc. beverages', 'other vegetables', 'sausage', 'whole milk', 'yogurt')",1
8,"('frankfurter', 'frozen meals', 'margarine', 'misc. beverages', 'other vegetables', 'sausage', 'whole milk', 'yogurt')",1
8,"('beef', 'cake bar', 'candles', 'curd', 'flour', 'rolls/buns', 'tropical fruit', 'whipped/sour cream')",1
8,"('beef', 'cake bar', 'candles', 'curd', 'flour', 'rolls/buns', 'tropical fruit', 'whole milk')",1
8,"('beef', 'cake bar', 'candles', 'curd', 'flour', 'rolls/buns', 'whipped/sour cream', 'whole milk')",1
8,"('beef', 'cake bar', 'candles', 'curd', 'flour', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('beef', 'cake bar', 'candles', 'curd', 'rolls/buns', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('beef', 'cake bar', 'candles', 'flour', 'rolls/buns', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('beef', 'cake bar', 'curd', 'flour', 'rolls/buns', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('beef', 'candles', 'curd', 'flour', 'rolls/buns', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('cake bar', 'candles', 'curd', 'flour', 'rolls/buns', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('bottled water', 'coffee', 'frankfurter', 'other vegetables', 'pastry', 'sausage', 'soda', 'whole milk')",1
8,"('brown bread', 'butter milk', 'cake bar', 'canned beer', 'curd', 'frozen vegetables', 'sausage', 'yogurt')",1
8,"('bottled beer', 'bottled water', 'frozen meals', 'oil', 'rolls/buns', 'sausage', 'tropical fruit', 'waffles')",1
8,"('bottled beer', 'curd', 'fruit/vegetable juice', 'mayonnaise', 'misc. beverages', 'sausage', 'tropical fruit', 'waffles')",1
8,"('bottled beer', 'bottled water', 'detergent', 'frankfurter', 'fruit/vegetable juice', 'male cosmetics', 'rolls/buns', 'root vegetables')",1
8,"('dental care', 'hygiene articles', 'liquor', 'napkins', 'pastry', 'rolls/buns', 'sliced cheese', 'tropical fruit')",1
8,"('bottled beer', 'candy', 'citrus fruit', 'frankfurter', 'rolls/buns', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('hamburger meat', 'liver loaf', 'other vegetables', 'rolls/buns', 'sausage', 'whipped/sour cream', 'white bread', 'whole milk')",1
8,"('domestic eggs', 'other vegetables', 'pork', 'root vegetables', 'sausage', 'shopping bags', 'soda', 'vinegar')",1
8,"('domestic eggs', 'other vegetables', 'pork', 'root vegetables', 'sausage', 'shopping bags', 'soda', 'whole milk')",1
8,"('domestic eggs', 'other vegetables', 'pork', 'root vegetables', 'sausage', 'shopping bags', 'vinegar', 'whole milk')",1
8,"('domestic eggs', 'other vegetables', 'pork', 'root vegetables', 'sausage', 'soda', 'vinegar', 'whole milk')",1
8,"('domestic eggs', 'other vegetables', 'pork', 'root vegetables', 'shopping bags', 'soda', 'vinegar', 'whole milk')",1
8,"('domestic eggs', 'other vegetables', 'pork', 'sausage', 'shopping bags', 'soda', 'vinegar', 'whole milk')",1
8,"('domestic eggs', 'other vegetables', 'root vegetables', 'sausage', 'shopping bags', 'soda', 'vinegar', 'whole milk')",1
8,"('domestic eggs', 'pork', 'root vegetables', 'sausage', 'shopping bags', 'soda', 'vinegar', 'whole milk')",1
8,"('other vegetables', 'pork', 'root vegetables', 'sausage', 'shopping bags', 'soda', 'vinegar', 'whole milk')",1
8,"('domestic eggs', 'hamburger meat', 'instant coffee', 'newspapers', 'other vegetables', 'pastry', 'root vegetables', 'yogurt')",1
8,"('canned beer', 'curd', 'finished products', 'frankfurter', 'hamburger meat', 'packaged fruit/vegetables', 'sweet spreads', 'whipped/sour cream')",1
8,"('canned beer', 'curd', 'finished products', 'frankfurter', 'hamburger meat', 'packaged fruit/vegetables', 'sweet spreads', 'white bread')",1
8,"('canned beer', 'curd', 'finished products', 'frankfurter', 'hamburger meat', 'packaged fruit/vegetables', 'whipped/sour cream', 'white bread')",1
8,"('canned beer', 'curd', 'finished products', 'frankfurter', 'hamburger meat', 'sweet spreads', 'whipped/sour cream', 'white bread')",1
8,"('canned beer', 'curd', 'finished products', 'frankfurter', 'packaged fruit/vegetables', 'sweet spreads', 'whipped/sour cream', 'white bread')",1
8,"('canned beer', 'curd', 'finished products', 'hamburger meat', 'packaged fruit/vegetables', 'sweet spreads', 'whipped/sour cream', 'white bread')",1
8,"('canned beer', 'curd', 'frankfurter', 'hamburger meat', 'packaged fruit/vegetables', 'sweet spreads', 'whipped/sour cream', 'white bread')",1
8,"('canned beer', 'finished products', 'frankfurter', 'hamburger meat', 'packaged fruit/vegetables', 'sweet spreads', 'whipped/sour cream', 'white bread')",1
8,"('curd', 'finished products', 'frankfurter', 'hamburger meat', 'packaged fruit/vegetables', 'sweet spreads', 'whipped/sour cream', 'white bread')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'specialty bar')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'soft cheese', 'specialty bar')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'soft cheese', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'sausage', 'soft cheese', 'specialty bar')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'sausage', 'soft cheese', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'sausage', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'pip fruit', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'rolls/buns', 'sausage', 'soft cheese', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'rolls/buns', 'sausage', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'rolls/buns', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'other vegetables', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar')",1
8,"('beverages', 'curd', 'newspapers', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'pip fruit', 'rolls/buns', 'sausage', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'pip fruit', 'rolls/buns', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'pip fruit', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'newspapers', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar')",1
8,"('beverages', 'curd', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'yogurt')",1
8,"('beverages', 'curd', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'other vegetables', 'pip fruit', 'rolls/buns', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'other vegetables', 'pip fruit', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'other vegetables', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'curd', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar')",1
8,"('beverages', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'yogurt')",1
8,"('beverages', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'specialty bar', 'yogurt')",1
8,"('beverages', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'newspapers', 'other vegetables', 'pip fruit', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'newspapers', 'other vegetables', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'newspapers', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('beverages', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar')",1
8,"('curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'yogurt')",1
8,"('curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'specialty bar', 'yogurt')",1
8,"('curd', 'newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('curd', 'newspapers', 'other vegetables', 'pip fruit', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('curd', 'newspapers', 'other vegetables', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('curd', 'newspapers', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('curd', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('newspapers', 'other vegetables', 'pip fruit', 'rolls/buns', 'sausage', 'soft cheese', 'specialty bar', 'yogurt')",1
8,"('chocolate', 'finished products', 'frozen meals', 'napkins', 'other vegetables', 'packaged fruit/vegetables', 'salty snack', 'whole milk')",1
8,"('beef', 'detergent', 'domestic eggs', 'frozen vegetables', 'grapes', 'newspapers', 'processed cheese', 'tropical fruit')",1
8,"('UHT-milk', 'bottled beer', 'canned fish', 'chicken', 'cocoa drinks', 'frankfurter', 'onions', 'whole milk')",1
8,"('coffee', 'hygiene articles', 'ice cream', 'misc. beverages', 'popcorn', 'rolls/buns', 'shopping bags', 'tropical fruit')",1
8,"('bottled beer', 'chicken', 'frankfurter', 'meat', 'misc. beverages', 'other vegetables', 'pastry', 'root vegetables')",1
8,"('bottled beer', 'chicken', 'frankfurter', 'meat', 'misc. beverages', 'other vegetables', 'pastry', 'salt')",1
8,"('bottled beer', 'chicken', 'frankfurter', 'meat', 'misc. beverages', 'other vegetables', 'root vegetables', 'salt')",1
8,"('bottled beer', 'chicken', 'frankfurter', 'meat', 'misc. beverages', 'pastry', 'root vegetables', 'salt')",1
8,"('bottled beer', 'chicken', 'frankfurter', 'meat', 'other vegetables', 'pastry', 'root vegetables', 'salt')",1
8,"('bottled beer', 'chicken', 'frankfurter', 'misc. beverages', 'other vegetables', 'pastry', 'root vegetables', 'salt')",1
8,"('bottled beer', 'chicken', 'meat', 'misc. beverages', 'other vegetables', 'pastry', 'root vegetables', 'salt')",1
8,"('bottled beer', 'frankfurter', 'meat', 'misc. beverages', 'other vegetables', 'pastry', 'root vegetables', 'salt')",1
8,"('chicken', 'frankfurter', 'meat', 'misc. beverages', 'other vegetables', 'pastry', 'root vegetables', 'salt')",1
8,"('bottled beer', 'brown bread', 'butter', 'coffee', 'frankfurter', 'margarine', 'soda', 'sugar')",1
8,"('beef', 'brown bread', 'citrus fruit', 'frozen vegetables', 'long life bakery product', 'pasta', 'specialty cheese', 'whipped/sour cream')",1
8,"('chocolate', 'curd', 'hard cheese', 'liver loaf', 'mayonnaise', 'pip fruit', 'rolls/buns', 'root vegetables')",1
8,"('brown bread', 'citrus fruit', 'domestic eggs', 'frankfurter', 'other vegetables', 'sugar', 'whole milk', 'zwieback')",1
8,"('bottled water', 'chocolate', 'curd', 'domestic eggs', 'frozen meals', 'hygiene articles', 'rolls/buns', 'sausage')",1
8,"('cake bar', 'coffee', 'curd', 'frankfurter', 'hamburger meat', 'pork', 'root vegetables', 'soda')",1
8,"('chocolate', 'cream cheese ', 'flour', 'frankfurter', 'hard cheese', 'other vegetables', 'sausage', 'tropical fruit')",1
8,"('berries', 'candy', 'dessert', 'frozen meals', 'grapes', 'long life bakery product', 'sausage', 'soda')",1
8,"('bottled water', 'frozen fish', 'meat', 'onions', 'pip fruit', 'root vegetables', 'semi-finished bread', 'whipped/sour cream')",1
8,"('UHT-milk', 'coffee', 'napkins', 'onions', 'rolls/buns', 'root vegetables', 'whole milk', 'yogurt')",1
8,"('frozen dessert', 'grapes', 'onions', 'root vegetables', 'salty snack', 'tropical fruit', 'whipped/sour cream', 'whole milk')",1
8,"('frozen dessert', 'grapes', 'onions', 'root vegetables', 'salty snack', 'tropical fruit', 'whipped/sour cream', 'yogurt')",1
8,"('frozen dessert', 'grapes', 'onions', 'root vegetables', 'salty snack', 'tropical fruit', 'whole milk', 'yogurt')",1
8,"('frozen dessert', 'grapes', 'onions', 'root vegetables', 'salty snack', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('frozen dessert', 'grapes', 'onions', 'root vegetables', 'tropical fruit', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('frozen dessert', 'grapes', 'onions', 'salty snack', 'tropical fruit', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('frozen dessert', 'grapes', 'root vegetables', 'salty snack', 'tropical fruit', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('frozen dessert', 'onions', 'root vegetables', 'salty snack', 'tropical fruit', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('grapes', 'onions', 'root vegetables', 'salty snack', 'tropical fruit', 'whipped/sour cream', 'whole milk', 'yogurt')",1
8,"('beverages', 'dessert', 'domestic eggs', 'hamburger meat', 'rolls/buns', 'soda', 'whole milk', 'yogurt')",1
8,"('bottled water', 'hamburger meat', 'other vegetables', 'sausage', 'spread cheese', 'sugar', 'tropical fruit', 'white bread')",1
8,"('beef', 'brown bread', 'chocolate', 'dessert', 'processed cheese', 'rolls/buns', 'shopping bags', 'soda')",1
8,"('beef', 'beverages', 'frankfurter', 'other vegetables', 'rolls/buns', 'softener', 'vinegar', 'white bread')",1
8,"('beef', 'beverages', 'frankfurter', 'other vegetables', 'rolls/buns', 'softener', 'vinegar', 'whole milk')",1
8,"('beef', 'beverages', 'frankfurter', 'other vegetables', 'rolls/buns', 'softener', 'white bread', 'whole milk')",1
8,"('beef', 'beverages', 'frankfurter', 'other vegetables', 'rolls/buns', 'vinegar', 'white bread', 'whole milk')",1
8,"('beef', 'beverages', 'frankfurter', 'other vegetables', 'softener', 'vinegar', 'white bread', 'whole milk')",1
8,"('beef', 'beverages', 'frankfurter', 'rolls/buns', 'softener', 'vinegar', 'white bread', 'whole milk')",1
8,"('beef', 'beverages', 'other vegetables', 'rolls/buns', 'softener', 'vinegar', 'white bread', 'whole milk')",1
8,"('beef', 'frankfurter', 'other vegetables', 'rolls/buns', 'softener', 'vinegar', 'white bread', 'whole milk')",1
8,"('beverages', 'frankfurter', 'other vegetables', 'rolls/buns', 'softener', 'vinegar', 'white bread', 'whole milk')",1
8,"('bottled beer', 'bottled water', 'frozen meals', 'margarine', 'onions', 'other vegetables', 'soda', 'white bread')",1
8,"('citrus fruit', 'curd', 'detergent', 'other vegetables', 'pastry', 'soda', 'syrup', 'tropical fruit')",1
8,"('citrus fruit', 'curd', 'detergent', 'other vegetables', 'pastry', 'soda', 'syrup', 'whole milk')",1
8,"('citrus fruit', 'curd', 'detergent', 'other vegetables', 'pastry', 'soda', 'tropical fruit', 'whole milk')",1
8,"('citrus fruit', 'curd', 'detergent', 'other vegetables', 'pastry', 'syrup', 'tropical fruit', 'whole milk')",1
8,"('citrus fruit', 'curd', 'detergent', 'other vegetables', 'soda', 'syrup', 'tropical fruit', 'whole milk')",1
8,"('citrus fruit', 'curd', 'detergent', 'pastry', 'soda', 'syrup', 'tropical fruit', 'whole milk')",1
8,"('citrus fruit', 'curd', 'other vegetables', 'pastry', 'soda', 'syrup', 'tropical fruit', 'whole milk')",1
8,"('citrus fruit', 'detergent', 'other vegetables', 'pastry', 'soda', 'syrup', 'tropical fruit', 'whole milk')",1
8,"('curd', 'detergent', 'other vegetables', 'pastry', 'soda', 'syrup', 'tropical fruit', 'whole milk')",1
8,"('bottled water', 'chocolate', 'cling film/bags', 'frozen vegetables', 'house keeping products', 'margarine', 'soda', 'whole milk')",1
